key,zh-CN,zh-Hant,en-US,es,fr,it,ja,kr
common.eventCategory,赛事类别,,,,,,,
common.expand,展开,展開,Expand,inicio,l’ouverture,avviare,展開します,벌
common.expandPreset,展开预设,展開預設,Expand Preset,Expandir un preset,Développer le preset,Avvio della fase preliminare,展開プリセットです,미리 설정한 값 풀기
common.export,导出,匯出,Export,Exportar,Exporter,Esporta,エクスポート,내보내기
common.exportLocal,导出至本地,導出至本地,Export,Exportar a local,Exporter vers local,Esportazione a livello locale,ローカルに導出します。,로컬로 내보내기
common.frontView,正面,正面,Front View,,,,,
common.import,导入,匯入,Import,Importar,Importer,Importa,インポート,가져오기
common.importPersonalPreset,导入个人预设,導入個人預設,Import Personal Preset,Importar presets individuales,Importer des presets personnels,Politica della ricerca e dello sviluppo,パーソナルプリセットを導入します,개인 설정값을 가져옵니다
common.items,条,,items,,,,,
common.knobAbsMode,绝对值模式,绝对值模式,Absolute Value Mode,,,,,
common.noDashboard,暂无选中仪表盘,暫無選中儀表盤,No dashboard selected,No se ha seleccionado ningún tablero,Aucun tableau de bord sélectionné,Nessuna dashboard selezionata,選択されたダッシュボードはありません,선택된 대시보드가 없습니다
common.open,打开,打開,Open,abre,ouvrir,aprire,開けます,열어
common.personPreset,个人预设,個人預設,Personal,Presets individuales,Préréglage personnel,Preset personale,個人プリセット,개인 프리셋
common.presetLibrary,预设库,預設庫,Preset Library,Biblioteca de presets,Bibliothèque de préréglages,Libreria dei preset,プリセットライブラリ,프리셋 라이브러리
common.presetName,预设名称,,Preset Name,,,,,
common.reachedBottom,已经到底了,已經到達底部,Already reached the bottom,Ya se ha alcanzado el fondo,Déjà atteint le bas,Già raggiunto il fondo,すでに底部に到達しました,이미 바닥에 도달했습니다
common.rename,重命名,重命名,Rename,Renombrar,Renommer,Rinominare,名前を変更,이름 변경
common.reset,重置,重置,Reset,,,,,
common.revert,撤销,撤銷,Revert,cancelación,Le retrait,annullamento,撤回です,취소
common.rightSelectDashboard,请从右侧仪表库选择,請從右側儀表庫選擇,Please choose from the dashboard library on the right,"Por favor, elija uno de la biblioteca de tableros a la derecha",Veuillez en choisir un dans la bibliothèque de tableaux de bord à droite,Scegli dalla libreria delle dashboard a destra,右側のダッシュボードライブラリから選択してください,오른쪽 대시보드 라이브러리에서 선택해 주세요
common.rpmSetting,转速灯设置,轉速燈設置,RPM Light Settings,Configuración de luces RPM,Paramètres des voyants RPM,Impostazioni della luce RPM,回転数ランプ設定,RPM 램프 설정
common.save,保存,保存,Save,Guardar,Enregistrer,Salva,保存,저장
common.saveAs,另存,另存,Save As,Guardar como,Enregistrer sous,Salva Come,名前を付けて保存,다른 이름으로 저장
common.savePersonPreset,保存个人预设,,Save Personal Preset,,,,,
common.seesawMode,跷跷板模式,跷跷板模式,Seesaw mode,,,,,
common.selectAll,全选,,Select all,,,,,
common.selected,已选,,Selected,,,,,
common.selectedDashboard,选中的仪表,已選中的儀表盤,Selected Dashboard,Tablero seleccionado,Tableau de bord sélectionné,Dashboard selezionata,選択されたダッシュボード,선택된 대시보드
common.sideLightSeting,侧仪表灯设置,儀表側燈設置,Instrument Side Light Settings,Configuración de luces laterales del panel de instrumentos,Paramètres des lumières latérales du tableau de bord,Impostazioni luci laterali strumenti,インストゥルメントサイドライト設定,계기판 측면등 설정
common.simagicDashboard,官方仪表库,官方儀表庫,Simagic Dashboard Library,Biblioteca de paneles de control Simagic,Bibliothèque de tableaux de bord Simagic,Libreria delle dashboard Simagic,Simagic ダッシュボードライブラリ,Simagic 계기판 라이브러리
common.speed,速度,速度,Speed,Velocidad,Vitesse,Velocità,速度,속도
common.syncToRacingOS,同步到Racing OS,同步到Racing OS,Sync to Racing OS,Sincronizar con Racing OS,Synchroniser avec Racing OS,Sincronizza con Racing OS,Racing OSに同期,Racing OS로 동기화
common.telemetryInformation,遥测信息,,,,,,,
common.telemetryList,遥测列表,遙測列表,Telemetry List,Lista de telemetría,Liste de télémétrie,Elenco di telemetria,テレメトリリスト,텔레메트리 목록
common.throttle,油门,油門,Throttle,Acelerador,Accélérateur,Aceleratore,アクセル,액셀러레이터
common.tips,提示,提示,tips,sugerencia,rappel,tip,ヒントです,제시
common.total,共,,Total,,,,,
common.unit,个,個,Unit,Unidad,Unité,Unità,個,개
common.viewNumericCode,查看数字编码,查看數字編碼,View Numeric Code,Ver código numérico,Voir le code numérique,Visualizza il codice numerico,数字コードを確認,숫자 코드를 확인
common.wheel,方向盘,方向盤,wheel,Volante,Volant,Volante,ステアリングホイール,스티어링 휠
common.youCanSelectUpTo10,最多可选10个,最多可選10個,You can select up to 10,Puedes seleccionar hasta 10,Vous pouvez en sélectionner jusqu'à 10,Puoi selezionare fino a 10,最大で10個まで選択できます,최대 10개까지 선택할 수 있습니다
devices.base.appliedRecommendForce,已为此基座应用推荐力度,已為此基座應用推薦力度,Recommend Force level applied,Recomendar nivel de fuerza aplicado,Niveau de force recommandé appliqué,Livello di Forza Consigliato applicato,推奨出力レベル,권장 포스피드백강도로 설정되었습니다
devices.base.basicSettings.basic,基本,基本,Basic,Básico,Basique,Base,基本,기본
devices.base.basicSettings.filterLevel,滤波等级,濾波等級,Filter Level,Nivel de filtro,Niveau de filtrage,Livello di filtro,フィルターレベル,필터 수준
devices.base.basicSettings.revertFFB,反向,反向,Reverse FFB,FFB Invertido,Inverser le FFB,Inverti FFB,元に戻す FFB,포스 피드백 반전
devices.base.basicSettings.smoothLevel,平滑等级,平滑等級,Smoothness,Suavidad,Fluidité,Fluidità,スムーズ レベル,부드러움 레벨
devices.base.basicSettings.title,基本设定,基本設定,Basic Settings,Configuración Básica,Paramètres de base,Impostazioni di Base,基本設定,기본 설정
devices.base.basicSettings.tooltip.smoothLevel,对力回馈输出进行平滑，适当平滑可减少突兀的力回馈输出，过度平滑可能损失细节。,對力回饋輸出進行平滑，適當平滑可減少突兀的力回饋輸出，過度平滑可能損失細節。,"Controls the smoothness of the force feedback signal (0 = OFF). Lower values provide more detail at the cost of increased noise and FFB spikes. Higher values provide a smoother experience, with less noise, at the cost of reduced detail.","Controla la suavidad del FFB (0 = DESACTIVADO) Los valores más bajos proporcionan más detalles, incrementando el ruido y los picos de FFB. Los valores más altos proporcionan una experiencia más fluida, con menos ruido y una reducción de detalle.","Contrôle la fluidité du signal de retour de force (0=OFF). Des valeurs plus faibles permettent d'obtenir plus de détails au risque d'avoir une augmentation du bruit et des pics FFB. Des valeurs plus élevées offrent une expérience plus douce avec moins de bruit, au prix d'une réduction des détails","Regola la fluidità del segnale del feedback (0 = OFF). Valori più bassi forniscono più dettagli, ma picchi di FFB e rumore del segnale elevati. Valori più alti forniscono un’esperienza di guida più fluida, con meno rumore, ma con dettagli ridotti.",FFB信号の滑らかさを制御します（0 = オフ）。値を低くすると、ノイズとFFBピーク値が増加する代わりに、より細かい情報が得られます。値を高くすると、細かい情報が減少する代わりに、ノイズが減少し、より滑らかな体験が得られます。,포스 피드백 신호의 부드러움을 조절합니다 (0 = OFF). 낮은 값은 소음과 FFB 스파이크를 증가시키지만 더 많은 세부 정보를 제공합니다. 높은 값은 더 부드러우며 소음이 적지만 FFB 세부 정보가 감소합니다.
devices.base.basicSettings.tooltip.totalForce,来自游戏力回馈输出大小的百分比。建议入门玩家使用70%左右数值，专业玩家建议全开此数值，然后在游戏内单独调节力回馈。(部分游戏默认需启用反向力回馈，如rF2),來自遊戲力回饋輸出大小的百分比。建議入門玩家使用70%左右數值，專業玩家建議全開此數值，然後在遊戲內單獨調節力回饋。 (部分遊戲預設需啟用反向力回饋，如rF2),"This is the percentage of the force feedback output strength from the game. It is recommended for beginners to use a value around 70%, while professional players should set this value to the maximum and adjust the force feedback settings individually within the game. (Some games may require enabling reverse force feedback by default, such as rF2.)","Controla la fuerza del FFB (0 = DESACTIVADO) Recomendamos que los pilotos ocasionales establezcan este valor en 70 %, mientras que los pilotos experimentados pueden establecer este valor en 100 %. Despues, ajusta la configuración de FFB de cada juego según tus necesidades.","Contrôle la force du retour de force (0=OFF). Nous recommandons aux conducteurs occasionnels de régler cette valeur à 70%, tandis que les conducteurs expérimentés devraient la régler à 100%. Ensuite réglez les paramètres FFB dans le jeu pour chaque titre en fonction de vos besoins.","Regola l’intensità generale del Force Feedback (0 = OFF). Consigliamo ai simdriver più novizi di impostare questo valore al 70%, mentre i simdriver più esperti dovrebbero usare questo valore al 100%. Dopodiché regola il FFB all’interno del gioco a seconda delle tue necessità.",全体の力の強度を調整します（0 = OFF）。初心者ドライバーはこの値を70%に、上級者ドライバーはこの値を100%に設定することをお勧めします。その後、必要に応じて各タイトルのゲーム内FFB設定を調整してください。,"포스 피드백 강도를 조절합니다 (0 = OFF). 캐쥬얼유저는 이 값을 70%로 설정하는 것을 권장하며, 경험이 있는 유저는 이 값을 100%로 설정하는 것이 좋습니다. 그 후 각 게임에서 필요에 따라 게임 내 FFB 설정을 조정하십시오."
devices.base.basicSettings.tooltip.vehicleSuspension,放大来自路面和车辆悬挂的细节力回馈，数值越大，细节越清晰，同时也可能会产生轻微噪音和增加基座发热。,放大來自路面和車輛懸吊的細節力回饋，數值越大，細節越清晰，同時也可能會產生輕微噪音和增加基座發熱。,"Enhances force feedback from the road surface & vehicle suspension (0 = OFF). Higher values give more information, but may increase noise and heat while driving.","Mejora la fuerza del FFB de la superficie de la carretera y la amortiguación del vehículo (0 = DESACTIVADO). Los valores más altos brindan más información, pero pueden aumentar el ruido y el calor durante la conducción.","Améliore le retour de force en fonction du revêtement de la piste et de la suspension du véhicule (0 = OFF). Des valeurs plus élevées donnent plus d'informations, mais peuvent augmenter le bruit et la température de votre base moteur pendant la conduite","Enfatizza il Force Feedback che arriva dalla superficie della strada e dalle sospensioni del veicolo (0 = OFF). Valori più alti forniscono più informazioni, ma potrebbero aumentare il rumore e la temperatura della base alla guida.",路面と車両サスペンションからの力フィードバックを強化できます（0 = OFF）。値を高くすると情報量が増えますが、走行中のノイズや 温度が上昇する可能性があります。,도로 표면 및 차량 서스펜션으로부터 오는 포스 피드백을 강화합니다 (0 = OFF). 높은 값은 더 많은 정보를 제공하지만 게임 중에 소음과 열을 증가시킬 수 있습니다.
devices.base.basicSettings.tooltip.wheelReturnSpeed,转向轴的最大转速的总限制，其它参数无法突破此限制。值得注意的是，真实赛车的转盘速度并不会很快。,轉向軸的最大轉速的總限制，其它參數無法突破此限制。值得注意的是，真實賽車的轉盤速度並不會很快。,"Controls how fast the steering wheel can rotate and react to ffb changes. 100% allows for maximum rotation speed, but can make the wheel unstable. Lower values produce a more stable wheel at the cost of responsiveness. This setting isn`t affected by other parameters.","Controla qué rápido puede girar el volante y reaccionar a los cambios de FFB. 100% permite una velocidad de giro máxima, pero puede que el volante sea inestable. Los valores más bajos producen un giro de volante más estable, limitando la capacidad de respuesta. Esta configuración no se ve afectada por otros parámetros",Contrôle la vitesse à laquelle le volant peut tourner et réagir aux changements de FFB. Une valeur de 100% permet une vitesse de rotation maximale mais peut rendre le volant instable. Des valeurs plus faibles permettent un volant plus stable au détriment de la réactivité. Ce réglage n'est pas affecté par les autres paramètres,"Controlla quanto velocemente il volante può ruotare e reagire ai cambiamenti del segnale del FFB. Un valore del 100% permette la velocità di rotazione massima della base, ma può risultare instabile. Valori più bassi garantiscono maggiore stabilità, ma meno reattività. Questo parametro non è influenzato dagli altri parametri.",ステアリングホイールの回転速度とFFB変化への反応速度を調整できます。100%では最大回転速度が得られますが、ホイールが不安定になることがあります。値を下げると、反応速度は低下しますが、より安定したホイールが得られます。この設定は他のパラメータの影響を受けません。,핸들이 얼마나 빨리 회전하고 FFB 변화에 반응하는지를 제어합니다. 100%는 최대 회전 속도를 허용하지만 핸들을 불안정하게 만들 수 있습니다. 낮은 값은 반응성을 희생하고 더 안정적인 핸들링을 제공합니다. 이 설정은 다른 설정값의 영향을 받지 않습니다.
devices.base.basicSettings.totalForce,力回馈大小,力回饋大小,Force Feedback,FFB,Retour de force,Force Feedback,全体の力,포스 피드백
devices.base.basicSettings.vehicle,车辆效果,車輛效果,Vehicle,Coche,Du véhicule,Veicolo,車両,차량
devices.base.basicSettings.vehicleSuspension,力回馈细节,車輛懸掛,Feedback Detail,Nivel de fidelidad,Détail du retour d'information,Dettagli Feedback,サスペンション,피드백 상세정보(차량 서스펜션)
devices.base.basicSettings.wheelReturnSpeed,转盘速度,回盤速度,Wheel Rotation Speed,Velocidad de Giro del Volante,Vitesse de retour du volant,Velocità Rotazione Volante,ハンドル戻り速度,휠 회전 속도
devices.base.forceFirmwareUpdateError,基座固件升级出错,基座韌體升级出错,Firmware update error,Error de actualización de firmware,Erreur de mise à jour du micrologiciel,Errore Aggiornamento Firmware,ファームウェアアップデートエラー,휠베이스 펌웨어 업데이트 중 오류가 발생했습니다
devices.base.forceFirmwareUpdateErrorText,请重新插拔基座电源后重启SimPro再试,请重新插拔基座电源后重启SimPro再试,Please restart the base and SimPro then flash again,Reinicie la base y SimPro y luego vuelva a flashear,Veuillez redémarrer la base et SimPro puis flasher à nouveau,"Riavviare la base e SimPro, quindi eseguire nuovamente il flashing",ベースと SimPro を再起動してから、もう一度フラッシュしてください,휠베이스 펌웨어 업데이트 중 오류가 발생했습니다
devices.base.forceFirmwareUpdateText,SimPro2需要最新基座固件才能正常工作,SimPro2需要最新基座韌體才能正常運作,SimPro2 require newer base firmware to work,SimPro2 necesita un nuevo firmware en la Base para funcionar,SimPro2 à besoin de mettre à jour votre base pour fonctionner,SimPro2 richiede un firmware più recente per funzionare con la tua base,SimPro2を動作させるには、新しいベースファームウェアが必要です,SimPro2는 새로운 휠베이스 펌웨어가 필요합니다
devices.base.forceFirmwareUpdatingText,基座固件正在升级,基座韌體正在升級,Wheelbase Firmware is updating,El firmware de la Base se esta actualizando,Le micrologiciel de votre base est en cours de mise à jour,Il Firmware della Base si sta aggiornando,ホイールベースのファームウェアがアップデート中,휠베이스 펌웨어 업데이트 중
devices.base.mechanical.centralDamper,中心阻尼,中心阻尼,Center Damper,Amortiguador central,Amortissement central,Damper Centrale,ダイナミックダンパー,중앙 댐퍼
devices.base.mechanical.electronicPower,转向助力,轉向助力,Steering Torque Assist,Asistencia de par de dirección,Assistance de couple de direction,Assistenza alla coppia di sterzo,ステアリングトルクアシスト,스티어링 토크 보조
devices.base.mechanical.filterCoefficient,动态预测等级,Dynamic Prediction Level,Dynamic Prediction Level,Dynamic Prediction Level,Dynamic Prediction Level,Dynamic Prediction Level,Dynamic Prediction Level,Dynamic Prediction Level
devices.base.mechanical.interpolationLevel,力回馈倍频,力回饋倍頻,Feedback Frequency,Frecuencia de retroceso,Fréquence de retour d'information,Interpolazione Feedback,補間レベル,피드백 주파수(보간 레벨)
devices.base.mechanical.mechanicalDamper,机械阻尼,機械阻尼,Mechanical Damper,Amortiguador mecánico,Amortissement Mécanique,Damper Meccanico,メカニカルダンパー,메커니컬 댐퍼
devices.base.mechanical.mechanicalFriction,机械摩擦,機械摩擦,Mechanical Friction,Fricción mecánica,Friction Mécanique,Frizione Meccanica,メカニカル摩擦,메커니컬 마찰
devices.base.mechanical.mechanicalInertia,机械惯量,機械慣量,Mechanical Inertia,Inercia mecánica,Inertie Mécanique,Inerzia Meccanica,メカニカル慣性,메커니컬 관성
devices.base.mechanical.mechanicalSpring,机械回中,機械回中,Mechanical Centering,Muelle mecánico,Rebond Mécanique,Molla Meccanica,メカニカルスプリング,메커니컬 스프링
devices.base.mechanical.noLimits,无限制,無限制,no limits,no limits,no limits,no limits,no limits,no limits
devices.base.mechanical.slowrate,转矩变化率,Slew Rate Control,Slew Rate Control,Slew Rate Control,Slew Rate Control,Slew Rate Control,Slew Rate Control,Slew Rate Control
devices.base.mechanical.title,机械效果,機械效果,Mechanical,Mecánico,Mécanique,Effetti Meccanici,メカニカル,메커니컬
devices.base.mechanical.tooltip.centralDamper,开启后，随车速增加，会使方向盘变重，令中心区的手感更扎实。（需遥测支持）,開啟後，隨車速增加，會使方向盤變重，令中心區的手感更紮實。 （需遙測支援）,"As the vehicle speed increases, the steering wheel becomes heavier and more stable near the center (Telemetry support required), which reduces oscillations when driving at speed. Higher values increase the strength of this effect (0 = OFF).","A medida que aumenta la velocidad del vehículo, el volante se vuelve más pesado y más estable cerca del centro (se requiere soporte de telemetría), lo que reduce las oscilaciones al conducir en altas velocidades. Los valores más altos aumentan la fuerza de este efecto (0 = DESACTIVADO).","Lorsque la vitesse du véhicule augmente, le volant devient plus lourd et plus stable près du centre (support télémétrique requis), ce qui réduit les oscillations lors de la conduite à vitesse élevée. Des valeurs plus élevées augmentent l'intensité de cet effet (0=OFF).","All’aumentare della velocità del veicolo lo sterzo diventa più pesante e più stabile nella parte centrale (Necessario abilitare la Telemetria), il che riduce le oscillazioni quando si viaggia ad alta velocità. Valori più alti aumentano l’intensità di questo effetto. (0 = OFF).",車速が上がるとステアリングホイールが重くなり、センター付近が安定するため（テレメトリのサポートが必要）、スピード走行時の振動が軽減されます。値が大きいほど、この効果が強くなります（0＝OFF）。,"차량 속도가 증가함에 따라 스티어링 휠이 중앙 부근에서 더 무겁고 안정되며, 주행 시 진동이 감소합니다 (텔레메트리 지원 필요). 높은 값은 이 효과의 강도를 증가시킵니다 (0 = OFF)."
devices.base.mechanical.tooltip.confilter_coe,"动态预测等级用于根据之前时刻的游戏数据(如车辆速度、转向角度、路面反馈等)，预测下一次游戏中的车辆状态和力反馈状态。通过提前计算和模拟能够优化力反馈的动态响应，显著缩短力反馈的延时(""注: 1. 此参数等级过高可能会产生较大的噪音或震动"" 2. 在iRacing中此参数无效果)","The Dynamic Prediction Level is designed to predict the next state of the vehicle and force feedback in the game based on data from previous moments (such as vehicle speed, steering angle, road surface feedback, etc,). By pre-calculating and simulating to optimizes the response of force feedback(Note: 1.Value too high may causing noise or high frequency vibration. 2. This value not support on iRacing)","The Dynamic Prediction Level is designed to predict the next state of the vehicle and force feedback in the game based on data from previous moments (such as vehicle speed, steering angle, road surface feedback, etc,). By pre-calculating and simulating to optimizes the response of force feedback(Note: 1.Value too high may causing noise or high frequency vibration. 2. This value not support on iRacing)","The Dynamic Prediction Level is designed to predict the next state of the vehicle and force feedback in the game based on data from previous moments (such as vehicle speed, steering angle, road surface feedback, etc,). By pre-calculating and simulating to optimizes the response of force feedback(Note: 1.Value too high may causing noise or high frequency vibration. 2. This value not support on iRacing)","The Dynamic Prediction Level is designed to predict the next state of the vehicle and force feedback in the game based on data from previous moments (such as vehicle speed, steering angle, road surface feedback, etc,). By pre-calculating and simulating to optimizes the response of force feedback(Note: 1.Value too high may causing noise or high frequency vibration. 2. This value not support on iRacing)","The Dynamic Prediction Level is designed to predict the next state of the vehicle and force feedback in the game based on data from previous moments (such as vehicle speed, steering angle, road surface feedback, etc,). By pre-calculating and simulating to optimizes the response of force feedback(Note: 1.Value too high may causing noise or high frequency vibration. 2. This value not support on iRacing)","The Dynamic Prediction Level is designed to predict the next state of the vehicle and force feedback in the game based on data from previous moments (such as vehicle speed, steering angle, road surface feedback, etc,). By pre-calculating and simulating to optimizes the response of force feedback(Note: 1.Value too high may causing noise or high frequency vibration. 2. This value not support on iRacing)","The Dynamic Prediction Level is designed to predict the next state of the vehicle and force feedback in the game based on data from previous moments (such as vehicle speed, steering angle, road surface feedback, etc,). By pre-calculating and simulating to optimizes the response of force feedback(Note: 1.Value too high may causing noise or high frequency vibration. 2. This value not support on iRacing)"
